predicate,fixture,row_count,wall_ms
mayResolveToRec,local_fixtures,481,1849
mayResolveTo_all,local_fixtures,695,1886
mayResolveTo_dataflow,local_fixtures,481,657
resolvesToFunctionDirect,local_fixtures,49,1921
